PLF_28228_00000001	PLF_28228_00000001	plfam	hypothetical protein
PLF_28228_00000002	PLF_28228_00000002	plfam	hypothetical protein
PLF_28228_00000003	PLF_28228_00000003	plfam	hypothetical protein
PLF_28228_00000004	PLF_28228_00000004	plfam	Transposase
PLF_28228_00000005	PLF_28228_00000005	plfam	hypothetical protein
PLF_28228_00000006	PLF_28228_00000006	plfam	Glucokinase (EC 2.7.1.2)
PLF_28228_00000007	PLF_28228_00000007	plfam	TonB-dependent receptor
PLF_28228_00000010	PLF_28228_00000010	plfam	NADP-dependent malic enzyme (EC 1.1.1.40)
PLF_28228_00000011	PLF_28228_00000011	plfam	Error-prone repair protein UmuD
PLF_28228_00000012	PLF_28228_00000012	plfam	hypothetical protein
PLF_28228_00000013	PLF_28228_00000013	plfam	Chemotaxis protein methyltransferase CheR (EC 2.1.1.80)
PLF_28228_00000014	PLF_28228_00000014	plfam	Translation elongation factor Tu
PLF_28228_00000015	PLF_28228_00000015	plfam	hypothetical protein
PLF_28228_00000016	PLF_28228_00000016	plfam	MSHA pilin protein MshA
PLF_28228_00000017	PLF_28228_00000017	plfam	Microbial collagenase, secreted (EC 3.4.24.3)
PLF_28228_00000018	PLF_28228_00000018	plfam	Mobile element protein
PLF_28228_00000019	PLF_28228_00000019	plfam	Mobile element protein
PLF_28228_00000020	PLF_28228_00000020	plfam	Phosphoglucomutase (EC 5.4.2.2)
PLF_28228_00000021	PLF_28228_00000021	plfam	TonB-dependent receptor
PLF_28228_00000022	PLF_28228_00000022	plfam	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)
PLF_28228_00000023	PLF_28228_00000023	plfam	hypothetical protein
PLF_28228_00000024	PLF_28228_00000024	plfam	Alkaline phosphatase (EC 3.1.3.1)
PLF_28228_00000025	PLF_28228_00000025	plfam	Chaperone protein DnaK
PLF_28228_00000026	PLF_28228_00000026	plfam	Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13) / Mannose-6-phosphate isomerase (EC 5.3.1.8)
PLF_28228_00000027	PLF_28228_00000027	plfam	Membrane-bound lytic murein transglycosylase D
PLF_28228_00000028	PLF_28228_00000028	plfam	N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)
PLF_28228_00000030	PLF_28228_00000030	plfam	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)
PLF_28228_00000032	PLF_28228_00000032	plfam	hypothetical protein
PLF_28228_00000034	PLF_28228_00000034	plfam	DNA-binding protein HU-beta
PLF_28228_00000035	PLF_28228_00000035	plfam	putative TonB-dependent receptor
PLF_28228_00000036	PLF_28228_00000036	plfam	Error-prone, lesion bypass DNA polymerase V (UmuC)
PLF_28228_00000037	PLF_28228_00000037	plfam	beta-N-acetylglucosaminidase (EC 3.2.1.52)
PLF_28228_00000038	PLF_28228_00000038	plfam	Copper/silver efflux RND transporter, transmembrane protein CusA
PLF_28228_00000039	PLF_28228_00000039	plfam	UPF0758 family protein
PLF_28228_00000041	PLF_28228_00000041	plfam	Malonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.18)
PLF_28228_00000042	PLF_28228_00000042	plfam	Mobile element protein
PLF_28228_00000043	PLF_28228_00000043	plfam	Mobile element protein
PLF_28228_00000044	PLF_28228_00000044	plfam	N-acetylglucosamine-regulated TonB-dependent outer membrane receptor
